Time,Queue_Size(KB),Latency(ms),Bandwidth(Mbps),Prediction_Action
1773585600,30.52,26.43,1.96,MAINTAIN_FLOW
1773585601,17.43,37.95,1.8,MAINTAIN_FLOW
1773585602,29.61,26.57,1.82,MAINTAIN_FLOW
1773585603,14.97,37.5,2,MAINTAIN_FLOW
1773585604,21.21,41.02,1.89,MAINTAIN_FLOW
1773585605,29.14,20.41,1.91,MAINTAIN_FLOW
1773585606,16.15,24.61,1.95,MAINTAIN_FLOW
1773585607,25.77,25,1.87,MAINTAIN_FLOW
1773585608,30.52,25.32,1.91,MAINTAIN_FLOW
1773585609,14.42,24.42,1.8,MAINTAIN_FLOW
1773585610,23.68,44.18,1.98,MAINTAIN_FLOW
1773585611,28.9,29.85,1.87,MAINTAIN_FLOW
1773585612,19.9,43.6,1.95,MAINTAIN_FLOW
1773585613,30.14,34.81,1.89,MAINTAIN_FLOW
1773585614,25.95,29.31,1.94,MAINTAIN_FLOW
1773585615,25.59,42.48,1.81,MAINTAIN_FLOW
1773585616,21.6,38.11,1.98,MAINTAIN_FLOW
1773585617,12.43,43.17,1.81,MAINTAIN_FLOW
1773585618,15.74,37.65,1.89,MAINTAIN_FLOW
1773585619,13.78,27.27,1.84,MAINTAIN_FLOW
1773585620,30.81,33.88,1.9,MAINTAIN_FLOW
1773585621,13.63,36.86,1.89,MAINTAIN_FLOW
1773585622,18.77,44.12,1.91,MAINTAIN_FLOW
1773585623,17.76,20.96,1.8,MAINTAIN_FLOW
1773585624,21.64,35.16,1.97,MAINTAIN_FLOW
1773585625,23.31,32.18,1.81,MAINTAIN_FLOW
1773585626,24.22,22.86,1.94,MAINTAIN_FLOW
1773585627,11.71,29.73,1.97,MAINTAIN_FLOW
1773585628,24.74,25.71,1.91,MAINTAIN_FLOW
1773585629,16.01,39.5,1.96,MAINTAIN_FLOW
1773585630,14.37,33.99,2,MAINTAIN_FLOW
1773585631,16.37,38.44,1.93,MAINTAIN_FLOW
1773585632,19.53,43.65,1.88,MAINTAIN_FLOW
1773585633,31.73,35.65,1.99,MAINTAIN_FLOW
1773585634,17.85,23.44,1.96,MAINTAIN_FLOW
1773585635,23.71,24.88,1.84,MAINTAIN_FLOW
1773585636,29.97,22.94,1.89,MAINTAIN_FLOW
1773585637,12.32,35,1.81,MAINTAIN_FLOW
1773585638,14.12,29.71,1.92,MAINTAIN_FLOW
1773585639,29.64,40.02,0.96,THROTTLE_SOURCE
1773585640,24.07,34.51,1.88,MAINTAIN_FLOW
1773585641,22.52,31.73,1.94,MAINTAIN_FLOW
1773585642,13.98,26.75,1.82,MAINTAIN_FLOW
1773585643,19.97,22.39,1.89,MAINTAIN_FLOW
1773585644,14.25,31.2,1.9,MAINTAIN_FLOW
1773585645,25.47,26.2,1.85,MAINTAIN_FLOW
1773585646,12.28,38.61,1.82,MAINTAIN_FLOW
1773585647,25.41,34.52,1.83,MAINTAIN_FLOW
1773585648,30.73,22.33,1.84,MAINTAIN_FLOW
1773585649,28.63,30,1.92,MAINTAIN_FLOW
1773585650,28.81,36.5,1.92,MAINTAIN_FLOW
1773585652,22.9,33.73,1.82,MAINTAIN_FLOW
1773585653,24.24,43.67,1.88,MAINTAIN_FLOW
1773585654,16.56,22.3,1.9,MAINTAIN_FLOW
1773585655,30.71,40.66,0.95,THROTTLE_SOURCE
1773585656,16.21,36.41,1.99,MAINTAIN_FLOW
1773585657,26.21,35.24,1.86,MAINTAIN_FLOW
1773585658,16.32,34.28,1.97,MAINTAIN_FLOW
1773585659,11.22,44.33,1.94,MAINTAIN_FLOW
1773585660,25.7,37.18,1.96,MAINTAIN_FLOW
1773585661,12.09,31.76,1.87,MAINTAIN_FLOW
1773585662,16.49,20.09,1.92,MAINTAIN_FLOW
1773585663,11.62,30.95,1.87,MAINTAIN_FLOW
1773585664,26.69,22.27,1.81,MAINTAIN_FLOW
1773585665,13.13,23.98,1.85,MAINTAIN_FLOW
1773585666,28.89,37.48,1.98,MAINTAIN_FLOW
1773585667,17.75,44.51,2,MAINTAIN_FLOW
1773585668,25.59,27.42,1.95,MAINTAIN_FLOW
1773585669,17.82,40.07,1.91,MAINTAIN_FLOW
1773585670,25.34,23.44,1.96,MAINTAIN_FLOW
1773585671,21.34,21.6,1.97,MAINTAIN_FLOW
1773585672,26.07,23.09,1.94,MAINTAIN_FLOW
1773585673,27.45,39.8,1.84,MAINTAIN_FLOW
1773585674,11.41,32.56,1.83,MAINTAIN_FLOW
